,RoundCode,SessionCode,maxRed,maxBlue,maxGreen,maxOrange,maxPurple,maxYellow,maxMagenta,maxBlack,maxCyan,maxPink,maxSilver,maxTeal,maxBeige,maxOlive,maxBrown,totalClicks,Time1move,Time2move,Time3move,Time4move,Time5move,Time6move
252,14,1gdrtht3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,4.295,5.853,4.364,4.317,2.227,4.279
253,15,1gdrtht3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,8,2.537,4.342,4.379,5.212,2.706,2.668
254,16,1gdrtht3,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,8,3.861,5.709,2.792,2.759,2.211,2.458
255,17,1gdrtht3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2.568,5.342,2.606,2.837,4.757,2.427
256,2,7c1iwaxh,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,12,4.427,1.989,12.384,,4.627,6.246
257,3,7c1iwaxh,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,11.823,2.607,7.028,8.714,3.409,4.005
258,4,7c1iwaxh,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,6.168,3.962,6.568,7.808,3.608,6.515
259,5,7c1iwaxh,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.732,3.59,3.088,8.133,5.379,4.021
260,6,7c1iwaxh,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,13,5.212,3.977,5.227,6.452,7.871,7.57
261,7,7c1iwaxh,0,0,0,0,4,2,0,0,0,0,1,5,0,0,0,20,6.684,3.893,6.668,7.548,3.624,4.147
262,8,7c1iwaxh,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,15,6.905,8.952,3.34,5.629,2.607,4.311
263,9,7c1iwaxh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7.141,5.465,12.485,6.515,11.451,4.727
264,10,7c1iwaxh,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,7,4.895,4.024,7.56,4.979,2.924,2.676
265,11,7c1iwaxh,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,23,10.064,5.298,5.699,6.323,4.063,3.762
266,12,7c1iwaxh,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,19,14.212,18.908,4.517,6.282,3.124,3.183
267,13,7c1iwaxh,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4.929,3.262,7.056,14.139,14.093,14.07
268,14,7c1iwaxh,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,16,3.572,4.944,7.992,7.318,7.08,3.086
269,15,7c1iwaxh,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,7,5.565,4.964,3.445,9.488,8.371,5.132
270,16,7c1iwaxh,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,7,5.195,4.897,10.561,7.581,7.716,4.478
271,17,7c1iwaxh,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,25,3.456,7.919,2.907,10.41,5.298,2.839
272,2,lefz84r6,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,15,15.07,26.459,8.422,0.624,3.462,10.448
273,3,lefz84r6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,10.071,11.877,4.442,0.834,3.74,2.722
274,4,lefz84r6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,,20.924,7.955,2.977,4.959,4.639
275,5,lefz84r6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.251,10.682,7.412,0.608,3.004,5.252
276,6,lefz84r6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,6.183,7.65,6.215,0.786,4.943,3.64
277,7,lefz84r6,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,9,3.815,10.615,9.547,0.655,3.658,3.689
278,8,lefz84r6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,7.017,13.733,9.254,0.717,5.044,13.717
279,9,lefz84r6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4.086,15.9,6.479,0.764,14.197,
280,10,lefz84r6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,14,2.876,7.404,4.31,0.771,2.859,10.041
